obra_id|obra_url|obra_title|obra_date|obra_medium|obra_format|referente_id|referente_url|referente_title|referente_date|referente_publisher
646|https://bga.uniandes.edu.co/catalogo/api/items/646|El baño turco o Artífices del mármol (boceto)|1974|100x100 cm|Tinta y lápiz sobre papel mantequilla|646|https://bga.uniandes.edu.co/catalogo/api/items/646|El baño turco o Artífices del mármol (boceto)|1974|
644|https://bga.uniandes.edu.co/catalogo/api/items/644|Toilette Madame Vigée Lebrun et sa fille (boceto)|1973|100x100 cm|Tinta sobre papel mantequilla|645|https://bga.uniandes.edu.co/catalogo/api/items/645|Toilette Madame Vigée Lebrun et sa fille|1973|
661|https://bga.uniandes.edu.co/catalogo/api/items/661|Bocetos heliograbados 1 (Jacqueline-Klonk-boceto contact)|1974|50x70 cm|Tinta y contact sobre papel mantequilla|649|https://bga.uniandes.edu.co/catalogo/api/items/649|Klonk|1974|
642|https://bga.uniandes.edu.co/catalogo/api/items/642|Sun maid (boceto)|1973|120x111 cm|Tinta sobre papel mantequilla|643|https://bga.uniandes.edu.co/catalogo/api/items/643|Sun maid|1973|
640|https://bga.uniandes.edu.co/catalogo/api/items/640|Santa Copia (boceto)|1973|90x60 cm|Tinta sobre papel mantequilla|641|https://bga.uniandes.edu.co/catalogo/api/items/641|Santa Copia|1973|
638|https://bga.uniandes.edu.co/catalogo/api/items/638|Salomé (boceto)|1973|110x110cm|Marcador sobre papel mantequilla|639|https://bga.uniandes.edu.co/catalogo/api/items/639|Salomé |1973|
637|https://bga.uniandes.edu.co/catalogo/api/items/637|Salomé (boceto 1)|1973|20x50 cm,|Marcador sobre papel|639|https://bga.uniandes.edu.co/catalogo/api/items/639|Salomé |1973|
633|https://bga.uniandes.edu.co/catalogo/api/items/633|Pinky, Winky, Puff and Me (Boceto)|1973|Pendiente|Tinta y contact sobre papel mantequilla|634|https://bga.uniandes.edu.co/catalogo/api/items/634|Pinky, Winky, Puff and Me|1973|
631|https://bga.uniandes.edu.co/catalogo/api/items/631|Mutis por el Foro (boceto)|1973|N/A|Tinta y lápiz sobre papel|632|https://bga.uniandes.edu.co/catalogo/api/items/632|Mutis por el Foro |1973|
629|https://bga.uniandes.edu.co/catalogo/api/items/629|Las cartas sobre la mesa |1973|Pendiente|Heliograbado sobre papel|630|https://bga.uniandes.edu.co/catalogo/api/items/630|Las cartas sobre la mesa/ Los jugadores de cartas/ Homenaje a Cézanne|1973|
628|https://bga.uniandes.edu.co/catalogo/api/items/628|Las cartas sobre la mesa (boceto)|1973|Pendiente|Tinta sobre papel mantequilla|630|https://bga.uniandes.edu.co/catalogo/api/items/630|Las cartas sobre la mesa/ Los jugadores de cartas/ Homenaje a Cézanne|1973|
626|https://bga.uniandes.edu.co/catalogo/api/items/626|La señora está servida (boceto)|1973|N/A|Tinta sobre papel mantequilla|627|https://bga.uniandes.edu.co/catalogo/api/items/627|La señora está servida|1973|
621|https://bga.uniandes.edu.co/catalogo/api/items/621|La muerte del pecador (boceto)|1973|120 x 180 cm|Tinta sobre papel mantequilla|622|https://bga.uniandes.edu.co/catalogo/api/items/622|La muerte del pecador|1973|
619|https://bga.uniandes.edu.co/catalogo/api/items/619|La muerte del justo (boceto)|1973|120 x 180|Tinta sobre papel mantequilla|620|https://bga.uniandes.edu.co/catalogo/api/items/620|La muerte del justo|1973|
617|https://bga.uniandes.edu.co/catalogo/api/items/617|La actualidad ilustrada (boceto)|1973|60x68 cm|Tinta y contact sobre papel mantequilla|618|https://bga.uniandes.edu.co/catalogo/api/items/618|La actualidad ilustrada|1973|
588|https://bga.uniandes.edu.co/catalogo/api/items/588|Mi lucha es por el niño (boceto)|1972|35 x 50cm|Tinta y contact sobre papel mantequilla|589|https://bga.uniandes.edu.co/catalogo/api/items/589|Mi lucha es por el niño|1972|
583|https://bga.uniandes.edu.co/catalogo/api/items/583|Puyana in situ (boceto)|1971|pendiente|Tinta sobre papel|584|https://bga.uniandes.edu.co/catalogo/api/items/584|Puyana in situ|1971|
581|https://bga.uniandes.edu.co/catalogo/api/items/581|Peinador Gratia Plena Segundo Boceto|1971|pendiente|Tinta sobre papel mantequilla|579|https://bga.uniandes.edu.co/catalogo/api/items/579|Peinador Gratia Plena|1971|
580|https://bga.uniandes.edu.co/catalogo/api/items/580|Peinador Gratia Plena Primer Boceto|1971|pendiente|Tinta sobre papel mantequilla|579|https://bga.uniandes.edu.co/catalogo/api/items/579|Peinador Gratia Plena|1971|
563|https://bga.uniandes.edu.co/catalogo/api/items/563|Boceto de Happy Birthday|1970|38x35.5 cm|Heliograbado y tempera sobre papel|564|https://bga.uniandes.edu.co/catalogo/api/items/564|Happy Birthday|1970|
552|https://bga.uniandes.edu.co/catalogo/api/items/552|"De: 
Para: 
(Boceto)"|1970|pendiente|Tinta y contact sobre papel|551|https://bga.uniandes.edu.co/catalogo/api/items/551|"De: 
Para:"|1970|
546|https://bga.uniandes.edu.co/catalogo/api/items/546|Canción de cuna Boceto|1970|70x100 cm|Tinta sobre papel mantequilla|547|https://bga.uniandes.edu.co/catalogo/api/items/547|Canción de cuna|1970|
1652|https://bga.uniandes.edu.co/catalogo/api/items/1652|Boceto para conjuro en San Andrés|1991|70x90 cm  |Sanguina sobre papel|1651|https://bga.uniandes.edu.co/catalogo/api/items/1651|Conjuro en San Andrés|1988|
